X,Y,fid,gis_id,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,prcl_pin,address,city,state,zipcode,x_coord,y_coord,name,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,globalid,url
-8527297.478,4760693.785,1070,27_1070, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,2013011,823 E FORT AVE,Baltimore,MD,21230,1425006.061,584856.4433,SKYBOX BAR & GRILL, ,Riverside,10,2.45102E+14,9,SOUTHERN,18S UJ 61808 48172, , , ,{2A6AB66D-534C-42ED-9DFB-57280F587B29}, 
-8526273.882,4762122.842,1071,27_1071, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1861010,1700  THAMES ST,Baltimore,MD,21231,1427593.106,588487.4012,SLAINTE IRISH PUB & RESTAURANT, ,Fells Point,1,2.45102E+13,2,SOUTHEASTERN,18S UJ 62620 49261, , , ,{1642A66E-C9EF-4118-84FA-F07CE5ACCE7C}, 
-8529568.552,4762666.902,1072,27_1072, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,677025,504  WASHINGTON BLVD,Baltimore,MD,21230,1419209.636,589829.2405,SLIDERS BAR & GRILL, ,Inner Harbor,11,2.45102E+14,9,SOUTHERN,18S UJ 60075 49726, , , ,{45F81587-B8C4-4CB7-8B8F-7EE0505E4A91}, 
-8523283.239,4768727.796,1073,27_1073, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,5898001,4200  BELAIR RD,Baltimore,MD,21206,1435118.272,605244.7381,SLIM ACE OF CLUB, ,Belair-Edison,13,2.45103E+14,4,NORTHEASTERN,18S UJ 65026 54316, , , ,{AA8AC1E6-A3FA-4CFE-8816-048354A01253}, 
-8527706.702,4760847.469,1074,27_1074, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1931042,554 E FORT AVE,Baltimore,MD,21230,1423963.649,585241.1983,SLY FOX PUB, ,Riverside,10,2.45102E+14,9,SOUTHERN,18S UJ 61493 48297, , , ,{5F49B6CD-1F93-426E-8866-1A1227CD1D4B}, 
-8525962.232,4762530.942,1075,27_1075, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1829001,600 S WOLFE ST,Baltimore,MD,21231,1428380.936,589524.4794,SMEDLY'S, ,Fells Point,1,2.45102E+13,2,SOUTHEASTERN,18S UJ 62867 49572, , , ,{7E232817-B508-4408-8F25-7172028E76FD}, 
-8531681.441,4762337.277,1076,27_1076, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,279039,1525  RAMSAY ST,Baltimore,MD,21223,1413840.486,588972.801,smiley's tavern, ,New Southwest/Mount Clare,9,2.45102E+14,9,SOUTHERN,18S UJ 58433 49502, , , ,{515173D1-1637-4378-8311-B795BD0182B3}, 
-8526954.814,4766631.496,1077,27_1077, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,4159001,2006  HARFORD RD,Baltimore,MD,21218,1425811.461,599895.8425,SMITH PLACE, ,East Baltimore Midway,12,2.45108E+13,3,EASTERN,18S UJ 62154 52749, , , ,{839C4EA5-8B23-4444-A3E4-9356DBC3B978}, 
-8533425.804,4765820.193,1078,27_1078, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,2315060,1660  WARWICK AVE,Baltimore,MD,21216,1409371.83,597774.9312,SMITTIE'S BAR & LOUNGE, ,Coppin Heights/Ash-Co-East,7,2.45102E+14,7,WESTERN,18S UJ 57131 52214, , , ,{D8F4A8DD-0F9D-4643-B86E-79C2BFA7701B}, 
-8528714.49,4761397.039,1079,27_1079, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,933019,6 W CROSS ST,Baltimore,MD,21230,1421394.823,586622.2308,SOBO CAFE'  (6-8 W. CROSS ST.), ,Federal Hill,10,2.45102E+14,9,SOUTHERN,18S UJ 60719 48735, , , ,{48A59B1C-EED2-40C5-9CEA-DB3AAD02BAC3}, 
-8527915.277,4759476.816,1080,27_1080, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1053001,300  CROMWELL ST,Baltimore,MD,21225,1423448.138,581766.9362,SODEXHO  sunpapers, ,Port Covington,10,2.45102E+14,9,SOUTHERN,18S UJ 61312 47241, , , ,{3CC91ECA-D758-42B8-B24A-2EDA552F3E25}, 
-8531852.899,4761099.648,1081,27_1081, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,0731001A,1800  WASHINGTON BLVD,Baltimore,MD,21230,1413416.766,585836.5438,"SODEXHO MANAGEMENT, INC.", ,Carroll - Camden Industrial Area,9,2.45102E+14,9,SOUTHERN,18S UJ 58283 48549, , , ,{C2AB27EE-8E8B-4B0F-97B1-4CD96BBD6E8A}, 
-8528489.541,4764052.038,1082,27_1082, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,554001,501 N CALVERT ST,Baltimore,MD,21202,1421938.348,593348.3078,SODEXHO MANAGEMENT. INC, ,Mount Vernon,11,2.45101E+14,1,CENTRAL,18S UJ 60930 50780, , , ,{1165D1BF-00D5-4A70-9783-8C6A99F3E383}, 
-8529027.13,4762229.933,1083,27_1083, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,874019,502 S SHARP ST,Baltimore,MD,21201,1420590.941,588728.3386,SODEXHO/ FEDERAL RESERVE BANK, ,Otterbein,11,2.45102E+14,9,SOUTHERN,18S UJ 60488 49382, , , ,{D303A9BF-4344-4C8C-B5E4-20D7DFAC6E20}, 
-8528789.419,4763802.14,1084,27_1084, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,580013,333 n charles ST,Baltimore,MD,21202,1421178.62,592712.304,SOFI'S CREPES, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 60694 50592, , , ,{3F22C7A7-7BD3-407F-9D09-0A0AB53088F4}, 
-8528210.805,4763657.888,1085,27_1085, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,1303A013,407 E SARATOGA ST,Baltimore,MD,21202,1422651.253,592353.2692,SONAR, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 61141 50472, , , ,{2B86843B-586A-4F92-AFBF-06FACCD36661}, 
-8529427.596,4763720.529,1086,27_1086, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,577026,308 N EUTAW ST,Baltimore,MD,21201,1419556.969,592498.8654,SON-SON LIQUOR & TAVERN, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 60199 50537, , , ,{E11DDC67-B14F-4856-B86C-9562F95CD401}, 
-8528795.47,4763916.136,1087,27_1087, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,565001,405 N CHARLES ST,Baltimore,MD,21201,1421162.018,593000.8974,SOTTO SOPRA, ,Downtown,11,2.45104E+13,1,CENTRAL,18S UJ 60691 50680, , , ,{0888FCCB-AADB-4430-86A9-BCE8E0195A1C}, 
-8532697.881,4764022.364,1088,27_1088, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,105001,2101  EDMONDSON AVE,Baltimore,MD,21223,1411239.57,593229.9959,SOUL SOURCE, ,Midtown-Edmondson,9,2.45102E+14,7,WESTERN,18S UJ 57669 50816, , , ,{978A76EB-AAB9-45C5-BDE9-BD8336EC1171}, 
-8528966.248,4765378.714,1089,27_1089, ,0,2008/06/22 00:00:00+00,27, ,ST,GC_300,9.3E+14,465001,"11 W PRESTON STREET, #B",Baltimore,MD,21201,1420712.299,596702.2896,SOUP'S ON BALTIMORE, ,Mid-Town Belvedere,11,2.45101E+14,1,CENTRAL,18S UJ 60579 51810, , , ,{2DCFC51B-2505-447A-B1BF-B50DF709EF50}, 
